CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcelId,lat,lng
19601509-2,2014,1509 VERSAILLES RD,2014-10-10,Housing,Complaint Received,2014-10-10,False,04040232,-84.4483126103929,38.0469206741569
14680153#17-2,2014,153 PATCHEN DR,2014-10-10,Housing,Complaint Received,2014-10-10,False,10025660,-84.4561075884688,38.00306136731
06381541,2014,1541 ELIZABETH ST,2014-10-10,Housing,Closed Out,2015-02-06,True,13229401,-84.4479453994927,38.0497451022185
26493902,2014,3902 LAUREN WAY,2014-10-10,Housing,Complaint Received,2014-10-10,False,38021100,-84.5070953406064,38.0873316410243
30400468-3,2014,468 SILVER MAPLE WAY,2014-10-10,Housing,Housing w/Civil Penalty,2015-01-23,False,14796100,-84.485833032654,38.0496982554282
13020321S,2012,321 MERINO ST,2012-09-06,Housing,Closed Out,2014-10-10,True,12008700,-84.508329464545,38.0471931619439
08861904S,2013,1904 HARRODSBURG RD,2013-04-17,Housing,Closed Out,2014-10-10,True,38071340,-84.5060817323421,38.0868778107133
08861900S,2013,1900 HARRODSBURG RD,2013-04-17,Housing,Closed Out,2014-10-10,True,38071320,-84.5058836688303,38.0869542613503
15033202S,2014,3202 PIMLICO PKWY,2014-04-08,Housing,Closed Out,2014-11-11,True,20276717,-84.4580028191368,37.9841349257747
16502929S,2014,2929 RUNNYMEDE WAY,2014-06-18,Housing,Closed Out,2014-11-14,True,16495950,-84.5338318091343,38.0068588869536
14830123S,2014,123 PENMOKEN DR,2014-06-26,Housing,Reinspection,2015-01-29,False,20977800,-84.5146452633443,38.0109559717318
14820125S,2014,125 PENMOKEN PARK,2014-06-26,Housing,Reinspection,2015-01-29,False,22372750,-84.5373373972893,38.0502801160379
04890496S,2014,496 CROMWELL WAY,2014-07-24,Housing,Closed Out,2014-10-10,True,38092930,-84.5227429702613,37.9648456671653
24760417S,2014,417 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-10-10,True,20111340,-84.5448641028753,37.9816367058397
24760500S,2014,500 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-11-11,True,20066460,-84.5520189544534,37.9839206017695
24760501S,2014,501 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-11-11,True,20066200,-84.5496875968349,37.9833914066766
24760505S,2014,505 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-11-11,True,20066460,-84.5520189544534,37.9839206017695
24760509S,2014,509 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-11-11,True,20066650,-84.5502223081253,37.9836880284823
24760517S,2014,517 STONE CREEK DR,2014-08-04,Housing,Reinspection,2015-01-29,False,20066580,-84.5507364205056,37.9838960868831
14820102S,2014,102 PENMOKEN PARK,2014-08-04,Housing,Reinspection,2015-01-29,False,21388400,-84.5315537659616,38.0497818880434
13971847S2,2014,1847 NICHOLASVILLE RD,2014-08-04,Housing,Closed Out,2014-11-14,True,11748655,-84.5292955600662,38.07784068938
18963413-2,2014,3413 TISHOFF CT,2014-09-03,Housing,Closed Out,2014-10-10,True,23539700,-84.5467153784648,37.9905017676166
16060408S,2014,408 RIDGEWAY RD,2014-09-29,Housing,Closed Out,2014-10-10,True,15955200,-84.4825140045978,38.0224296287938
07202077#3,2014,2077 FONTAINE RD #3,2014-10-06,Housing,Closed Out,2015-01-13,True,38036800,-84.4063384432902,38.0178999333173
19440554,2014,554 N UPPER ST,2014-10-07,Housing,Closed Out,2014-11-25,True,13293200,-84.4838920967967,38.0572157477438
03110433-5,2014,433 CAMPBELL ST,2014-10-07,Housing,Notice/Order Issued,2014-10-10,False,12878350,-84.5148953648394,38.0525859058771
16920605S,2013,605 SEVERN WAY,2013-09-16,Housing,Reinspection,2015-01-29,False,14087425,-84.5358171636786,38.006935075095
16920609S,2013,609 SEVERN WAY,2013-09-16,Housing,Reinspection,2015-01-29,False,26068050,-84.5421664718902,38.0103717397233
19601401S2,2013,1401 VERSAILLES RD,2013-10-28,Housing,Reinspection,2015-01-29,False,12833575,-84.5197108109786,38.0531848609318
05900405S,2014,405 DUDLEY RD,2014-01-29,Housing,Reinspection,2015-01-29,False,14620900,-84.4819707609164,38.0223622896024
04913900-3930S,2014,3900-3930 CROSBY DR,2014-02-21,Housing,Closed Out,2014-11-14,True,14484150,-84.4852974812963,37.9735747083639
36611204S,2014,1204 KANNAPOLIS PL,2014-04-05,Housing,Reinspection,2015-01-29,False,20104250,-84.4176243963581,38.0090233360733
36611209S,2014,1209 KANNAPOLIS PL,2014-04-08,Housing,Reinspection,2015-01-29,False,17244000,-84.521554162345,38.0595874720625
36611201S,2014,1201 KANNAPOLIS PL,2014-04-09,Housing,Reinspection,2015-01-29,False,20104340,-84.4170696723406,38.008762050676
36611205S,2014,1205 KANNAPOLIS PL,2014-04-09,Housing,Reinspection,2015-01-29,False,20104330,-84.4173797640675,38.0085287820158
16920549S,2014,549 SEVERN WAY,2014-06-18,Housing,Reinspection,2015-01-29,False,12529350,-84.5329876883276,38.007366373782
16920505S,2014,505 SEVERN WAY,2014-06-18,Housing,Reinspection,2015-01-29,False,15668762,-84.5301259563443,38.0063264707647
26644321S,2014,4321 SOUTHMOOR PARK,2014-06-24,Housing,Reinspection,2014-10-10,False,20101290,-84.573972299474,37.9877843001628
26644309S,2014,4309 SOUTHMOOR PARK,2014-06-24,Housing,Closed Out,2014-11-14,True,20098650,-84.5748012742854,37.9860783830629
26644301S,2014,4301 SOUTHMOOR PARK,2014-06-24,Housing,Closed Out,2014-11-14,True,20098630,-84.574673120599,37.9864326338867
26644300S,2014,4300 SOUTHMOOR PARK,2014-06-24,Housing,Closed Out,2014-11-14,True,20098750,-84.5741549259751,37.986340711413
26534301S,2014,4301 SHIPTONS END,2014-06-24,Housing,Closed Out,2014-11-14,True,20098760,-84.5737714142258,37.9863156216006
11280636S,2014,636 LARAMIE DR,2014-06-24,Housing,Reinspection,2015-01-29,False,24984700,-84.5421951181693,38.0193476152083
11280601S,2014,601 LARAMIE DR,2014-06-24,Housing,Closed Out,2014-12-22,True,23745300,-84.5413174334621,38.0190273203406
14820101S,2014,101 PENMOKEN PARK,2014-08-04,Housing,Reinspection,2015-01-29,False,38031410,-84.5538866610977,38.0825787783652
35200221-3,2014,221 MOUSAS WAY,2014-08-14,Housing,Closed Out,2014-11-25,True,38018590,-84.4493188215812,38.0109884276763
16440914-4,2014,914 ROYAL AVE,2014-09-03,Housing,Housing w/Civil Penalty,2015-01-13,False,13559200,-84.4699980339836,38.0431405719122
16900547EXT,2014,547 E SEVENTH ST,2014-09-03,Housing,Appealed-Housing,2015-01-28,False,10037050,-84.4828271174035,38.0539031859993
19853446W11,2014,3446 WALLINGFORD CT,2014-08-19,Nuisance,Nuisance - Open,2014-10-30,False,20886800,-84.5471379595188,37.9887862676729
16101300W4,2014,1300 RIVER PARK CIR,2014-10-07,Nuisance,Nuisance - Open,2014-10-10,False,10476411,-84.481334638715,37.9717434046249
02031570W7,2014,1570 BLUEBIRD LN,2014-10-09,Nuisance,Nuisance - Open,2014-10-10,False,44449500,-84.5177762905347,38.0271473732076
02840124W11,2014,124 BURLEY AVE,2014-10-09,Nuisance,Nuisance - Open,2014-10-10,False,41337200,-84.5163838932078,38.0332156942527
06381485W2,2014,1485 ELIZABETH ST,2014-10-09,Nuisance,Nuisance - Open,2014-10-10,False,41982800,-84.522526372836,38.0658072647783
13953679W3,2014,3679 NIAGARA DR,2014-10-10,Nuisance,Nuisance - Open,2014-10-10,False,20279208,-84.4817901258451,37.9663323993582
16113550W3,2014,3550 RIVER PARK DR,2014-10-10,Nuisance,Nuisance - Open,2014-10-10,False,15457550,-84.4786420372822,37.9728971528475
04172913W3,2014,2913 CLAYS MILL RD,2014-10-10,Nuisance,Closed Nuisance,2014-10-29,True,20892200,-84.5339361785098,38.0200541907262
22803209W4,2014,3209 HUNTING HILLS DR,2014-10-08,Nuisance,Nuisance - Open,2014-10-10,False,20012500,-84.4493822268434,37.9879756211539
16531065W2,2014,1065 RUSSELL CAVE RD,2014-07-03,Nuisance,Invalid Nuisance,2014-10-10,True,20121060,-84.4094355215549,38.1701997710272
11751661W8,2014,1661 LINDY LN,2014-10-09,Nuisance,Invalid Nuisance,2014-10-10,True,15189100,-84.5354297910709,38.0539720241564
20160000SIGNS20,2014,0 WELLINGTON WAY,2014-10-10,Nuisance,Invalid Nuisance,2014-10-10,True,19330770,-84.5651361951743,38.0028015218236
06170194W9,2014,194 EDDIE ST,2014-09-11,Nuisance,Closed Nuisance,2014-10-10,True,17215400,-84.5104722315131,38.0389039032885
20500649W9,2014,649 WILDERNESS RD,2014-09-17,Nuisance,Closed Nuisance,2014-10-10,True,10747300,-84.4549044653101,38.0883953450076
02511089W30,2014,1089 S BROADWAY,2014-09-25,Nuisance,Closed Nuisance,2014-10-10,True,04015770,-84.503658838928,38.046780945094
18253720W8,2014,3720 SUNDART DR,2014-10-08,Nuisance,Nuisance w/Civil Penalty,2014-10-10,False,10003523,-84.4704453580441,37.9743305851377
06393212W2,2014,3212 ELK LAKE CT,2014-10-08,Nuisance,Nuisance Closed w/Civil Penalty,2014-11-03,True,10276649,-84.4630372567559,37.977147977211
19853442W11,2014,3442 WALLINGFORD CT,2014-10-09,Nuisance,Nuisance w/Civil Penalty,2014-11-18,False,23987300,-84.5469721200247,37.9890581423415
02840102W12,2014,102 BURLEY AVE,2014-10-09,Nuisance,Nuisance w/Civil Penalty,2014-10-10,False,41337200,-84.5163838932078,38.0332156942527
08181341W10,2014,1341 GRAFTON DR,2014-10-09,Nuisance,Nuisance w/Civil Penalty,2014-11-03,False,20086290,-84.5702684923959,37.984124330876
14353545S,2009,3545 OLYMPIA RD,2009-04-03,Housing,Housing w/Civil Penalty,2015-01-29,False,27032800,-84.5150996592335,37.9847956672602
08900407S,2013,407 HART RD,2013-04-24,Housing,Housing w/Civil Penalty,2015-01-30,False,16213250,-84.4820527661888,38.0222354732089
12270115-119-6,2014,115 W MAIN ST AKA 115-119 W MAIN ST,2014-05-12,Housing,Housing w/Civil Penalty,2015-01-22,False,11648200,-84.494654003612,38.0486362222648
14200530DEMO,2013,530 OHIO ST,2013-10-02,Housing,Housing w/Civil Penalty,2014-12-29,False,10896400,-84.4831555236336,38.049047640829
17170221-239S2,2014,221-239 W SHORT ST,2014-06-23,Housing,Housing Closed w/Civil Penalty,2014-11-13,True,14396800,-84.5041292389195,38.0535571930223
21012462,2014,2462 WOODHILL DR,2014-07-09,Housing,Housing w/Civil Penalty,2015-01-09,False,15575029,-84.4550604513607,38.0182526614291
21030326-5,2014,326 WOODLAND AVE,2014-04-23,Housing,Housing Closed w/Civil Penalty,2014-10-09,True,16536900,-84.4855663710118,38.0450889744745
09370000SIGNS4,2014,0 HILL N DALE RD,2014-10-09,Nuisance,Sign Complaint Received,2014-10-09,False,21144700,-84.5433855615859,38.0168173622265
06080202W7,2014,202 EASTERN AVE,2014-10-10,Nuisance,Closed/Abated by City,2014-11-10,True,10374100,-84.4673900154652,38.0430879443255
16830417W11,2014,417 E SECOND ST,2014-10-10,Nuisance,Nuisance Closed w/Civil Penalty,2014-10-27,True,13342900,-84.4891669669408,38.0449620937603
02850121W9,2014,121 BURNETT AVE,2014-10-10,Nuisance,Nuisance w/Civil Penalty,2014-10-09,False,16030300,-84.4786840671711,38.0582866712807
06080206W12,2014,206 EASTERN AVE,2014-10-10,Nuisance,Nuisance Closed w/Civil Penalty,2014-10-27,True,19346680,-84.4900753080855,38.0427945600046
08181341W9,2014,1341 GRAFTON DR,2014-09-23,Nuisance,Nuisance Closed w/Civil Penalty,2014-10-09,True,20086290,-84.5702684923959,37.984124330876
06080202W6,2014,202 EASTERN AVE,2014-09-24,Nuisance,Nuisance Closed w/Civil Penalty,2014-10-09,True,10374100,-84.4673900154652,38.0430879443255
16830417W10,2014,417 E SECOND ST,2014-09-24,Nuisance,Nuisance Closed w/Civil Penalty,2014-10-09,True,13342900,-84.4891669669408,38.0449620937603
06080206W11,2014,206 EASTERN AVE,2014-09-24,Nuisance,Nuisance Closed w/Civil Penalty,2014-10-09,True,19346680,-84.4900753080855,38.0427945600046
00681252W12,2014,1252 ASCOT PARK,2014-09-08,Nuisance,Nuisance w/Civil Penalty,2014-10-09,False,12806600,-84.4791177779704,37.9759258682145
19853442W10,2014,3442 WALLINGFORD CT,2014-09-09,Nuisance,Nuisance Closed w/Civil Penalty,2014-10-09,True,23987300,-84.5469721200247,37.9890581423415
02850121W8,2014,121 BURNETT AVE,2014-03-28,Nuisance,Nuisance Closed w/Civil Penalty,2014-10-09,True,16030300,-84.4786840671711,38.0582866712807
16370516W,2014,516 ROSEMONT GARDEN,2014-09-19,Nuisance,Closed Nuisance,2014-10-09,True,10056700,-84.524646036735,38.0213984421583
16113612W12,2014,3612 RIVER PARK DR,2014-09-19,Nuisance,Closed Nuisance,2014-10-09,True,11929150,-84.4781242466386,37.9738306111525
19262241W3,2014,2241 TUCSON DR,2014-09-22,Nuisance,Closed Nuisance,2014-10-09,True,20679550,-84.542671315143,38.0182841255202
19292370W8,2014,2370 TULSA RD,2014-09-22,Nuisance,Closed Nuisance,2014-10-09,True,23362050,-84.5437617999023,38.0186061839952
13800319W8,2014,319 NELSON AVE,2014-09-22,Nuisance,Closed Nuisance,2014-10-09,True,15604700,-84.4923473201387,38.0338212492127
16091876W17,2014,1876 RITTENHOUSE CT,2014-09-24,Nuisance,Closed Nuisance,2014-10-09,True,14335700,-84.4794853182494,38.0904657239258
19930858W3,2014,858 WARD DR,2014-09-24,Nuisance,Closed Nuisance,2014-10-09,True,20034360,-84.4953834713599,37.9584995810501
04680355W2,2014,355 CORRAL ST,2014-09-24,Nuisance,Closed Nuisance,2014-10-09,True,14904100,-84.4868964360787,38.0468872539182
06670557W5,2014,557 EUREKA SPRINGS DR,2014-09-15,Nuisance,Closed Nuisance,2014-10-09,True,17289674,-84.4571329150011,37.9986361220257
41034085W,2014,4085 SWEETSPIRE DR,2014-09-17,Nuisance,Closed Nuisance,2014-10-09,True,20064600,-84.5813452663229,38.0037053399641
03951061SIGNS,2014,1061 CHINOE RD,2014-10-08,Nuisance,Sign Closed-No Notice Required,2014-10-09,True,22616100,-84.5558690127183,38.0345370356884
19010000SIGNS38,2014,0 TODDS RD,2014-10-09,Nuisance,Sign Closed-No Notice Required,2014-10-09,True,19333070,-84.4231199977667,38.009047558483
15030000SIGNS31,2014,0 PIMLICO PKWY,2014-10-09,Nuisance,Invalid Nuisance,2014-10-09,True,20276717,-84.4580028191368,37.9841349257747
08470953W14,2014,953 GREGORY WAY,2014-10-08,Nuisance,Invalid Nuisance,2014-10-09,True,24816438,-84.5591260916429,37.9760958628276
03640000W6,2014,0 CENTRE PKWY,2014-10-07,Nuisance,Invalid Nuisance,2014-10-09,True,38005610,-84.5616996138465,38.0173923889086
09651260W3,2014,1260 HOT SPRINGS CT,2014-10-07,Nuisance,Invalid Nuisance,2014-10-09,True,16353400,-84.4807128750161,37.9776259685802
39994620W4,2014,4620 MARCUS TRL,2014-10-08,Nuisance,Invalid Nuisance,2014-10-09,True,20029060,-84.493159843668,37.9539642159151
06060613W2,2014,613 EASTHILLS CT,2014-10-08,Nuisance,Invalid Nuisance,2014-10-09,True,17195564,-84.4536438484965,37.993670717636
08862000W8,2014,2000 HARRODSBURG RD,2014-10-09,Nuisance,Invalid Nuisance,2014-10-09,True,12743125,-84.4746484942196,38.0165507749771
19590109W10,2014,109 VENICE PARK,2014-10-09,Nuisance,Invalid Nuisance,2014-10-09,True,38031450,-84.5536361751359,38.082420420413
05920365SIGNS2,2014,365 DUKE RD,2014-10-09,Nuisance,Invalid Nuisance,2014-10-09,True,11502200,-84.5101092342971,37.9821246657643
27284204W7,2014,4204 BRIDGEMONT LN,2014-10-07,Nuisance,Nuisance - Open,2014-10-09,False,38003750,-84.5653726937883,38.0428719603653
20104021W,2014,4021 WEBER WAY,2014-10-08,Nuisance,Nuisance - Open,2014-10-09,False,20075690,-84.56140869193,37.9745716076437
17190617W2,2014,617 SHROPSHIRE AVE,2014-10-10,Nuisance,Nuisance - Open,2014-10-09,False,16357075,-84.4777265882375,38.0492514934821
08181333W4,2014,1333 GRAFTON DR,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,20109440,-84.5696332373504,37.9802785106475
08750189W41,2014,189 N HANOVER AVE,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,12582600,-84.4798983134585,38.0369600644684
04663291W3,2014,3291 CORNWALL DR,2014-10-09,Nuisance,Closed Nuisance,2014-10-31,True,12430400,-84.4768510180479,37.9918229971394
04663315W9,2014,3315 CORNWALL DR,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,15767590,-84.4782818369847,37.9917074667979
08343313W,2014,3313 GREEN RIVER CT,2014-10-09,Nuisance,Closed Nuisance,2014-11-03,True,15085587,-84.4467803332085,37.9948934134326
06040323W4,2014,323 S EAGLE CREEK DR,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,15085453,-84.4488387424526,37.995917550675
10300533W3,2014,533 JUDY LN,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,26085000,-84.454758261374,38.0805861064743
07540000W,2014,0 FROGTOWN LN,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,19343510,-84.5499131145754,38.0908944058888
12390310W2,2014,310 MANHATTAN DR,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,15094300,-84.4624074792906,38.0653043592836
12390321W3,2014,321 MANHATTAN DR,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,14363800,-84.4611818019566,38.065077820203
12390387W10,2014,387 MANHATTAN DR,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,16763562,-84.4584963817207,38.0625039483095
12390326W6,2014,326 MANHATTAN DR,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,14363800,-84.4611818019566,38.065077820203
03951008S,2014,1008 CHINOE RD,2014-10-09,Nuisance,Nuisance - Open,2014-10-09,False,15197300,-84.4787330848783,38.0242891475893
01660614W,2014,614 BENTON CT,2014-10-09,Nuisance,Closed Nuisance,2014-10-24,True,12048000,-84.4639114080201,38.080457222171
03400613W,2014,613 CARVER RD,2014-10-09,Nuisance,Closed Nuisance,2014-10-24,True,16380900,-84.4819665946542,38.0788532651982
15620529W,2014,529 RADCLIFFE RD,2014-10-09,Nuisance,Nuisance - Open,2014-10-27,False,11642300,-84.4637792633911,38.0776954247119
01120504W7,2014,504 BALMORAL CT,2014-10-08,Nuisance,Nuisance - Open,2014-11-17,False,13550819,-84.4542385773751,38.05985261955
18400329W6,2014,329 SYCAMORE RD,2014-10-08,Nuisance,Nuisance - Open,2014-10-09,False,16248050,-84.4860437085244,38.0281651028303
19130416W11,2014,416 TRANSYLVANIA PARK,2014-10-08,Nuisance,Closed Nuisance,2014-11-10,True,13485050,-84.4980788453833,38.0354752752002
11141396W8,2014,1396 LAKEWOOD DR,2014-10-08,Nuisance,Nuisance - Open,2014-10-24,False,20099420,-84.5739314550781,37.9839073352474
43013350W,2014,3350 LAWSON LN,2014-10-02,Nuisance,Closed Nuisance,2014-10-27,True,19993850,-84.404372020079,38.0798233490433
00080444W18,2014,444 ADDIE ST,2014-08-22,Nuisance,Nuisance - Open,2014-10-09,False,17205450,-84.4940304570049,38.0564024714172
17190615W7,2014,615 SHROPSHIRE AVE,2014-04-01,Nuisance,Nuisance - Open,2014-10-09,False,16357075,-84.4777265882375,38.0492514934821
17153265W6,2014,3265 SHOAL LAKE DR,2014-09-12,Nuisance,Nuisance - Open,2014-10-09,False,19322020,-84.4133253458272,38.0115036338783
07770660-2,2014,660 GAY PL,2014-07-08,Housing,Closed Out,2014-11-19,True,16120850,-84.4613194386564,38.0535287656803
35951925S,2014,1925 JUSTICE DR,2014-06-12,Housing,Reinspection,2015-01-06,False,13009150,-84.5445019012874,38.0520489920075
35951916S,2014,1916 JUSTICE DR,2014-06-12,Housing,Reinspection,2015-01-06,False,16818000,-84.476158682486,38.0914099321265
16113594,2014,3594 RIVER PARK DR,2014-10-06,Housing,Closed Out,2014-11-11,True,15457550,-84.4786420372822,37.9728971528475
04753336-2,2014,3336 COVE LAKE DR (AKA 3338 COVE LAKE DR),2014-10-07,Housing,Closed Out,2014-12-04,True,19975310,-84.4443329889225,37.9945148124815
14680420,2014,420 PATCHEN DR,2014-10-08,Housing,Closed Out,2014-12-31,True,10025660,-84.4561075884688,38.00306136731
24393501S,2014,3501 CASTLEGATE CT,2014-10-09,Housing,Reinspection,2015-01-23,False,20066510,-84.5516211424663,37.9848812168699
04753336EMER,2014,3336 COVE LAKE DR (AKA 3338 COVE LAKE DR),2014-10-09,Housing,Closed Out,2014-10-15,True,19975310,-84.4443329889225,37.9945148124815
18070498S,2014,498 STRATFORD DR,2014-09-18,Housing,Closed Out,2014-10-09,True,23229750,-84.5354932602022,38.009182560596
18070494S,2014,494 STRATFORD DR,2014-09-18,Housing,Closed Out,2014-10-09,True,26878150,-84.5332599288263,38.0185667919136
22151187S,2014,1187 ROCKBRIDGE RD,2014-09-23,Housing,Closed Out,2014-10-09,True,20018860,-84.4925380286617,37.9570696655541
22151186S,2014,1186 ROCKBRIDGE RD,2014-09-23,Housing,Closed Out,2014-10-09,True,20018860,-84.4925380286617,37.9570696655541
14760365-2,2014,365 PEACHTREE RD,2014-08-29,Housing,Closed Out,2014-10-09,True,11461400,-84.4475331253176,38.0165162241076
10441140-1144-2,2014,1140-1144 KEES RD (HALLWAY),2014-08-19,Housing,Closed Out,2014-10-09,True,17064600,-84.4831098494228,38.0637798055093
10441140#5-2,2014,1140 KEES RD #5 AKA 1140-1144 KEES RD #5,2014-08-14,Housing,Closed Out,2014-10-09,True,17064600,-84.4831098494228,38.0637798055093
05580168-4,2014,168 DEVONIA AVE,2014-08-15,Housing,Closed Out,2014-10-09,True,12131400,-84.4756331699528,38.0588609739514
24760393S,2014,393 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-10-09,True,20103350,-84.5445225712488,37.9816893949093
24760397S,2014,397 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-10-09,True,20111330,-84.5445877540832,37.9814586781433
24773508S,2014,3508 ONYX CT,2014-08-04,Housing,Closed Out,2014-10-09,True,20066640,-84.5497364414742,37.9838646869882
15642047S2,2014,2047 RAINBOW RD,2014-08-06,Housing,Closed Out,2014-10-09,True,25573100,-84.5204811071789,38.0101941118343
09290239-259S,2014,239-259 E HIGH ST,2014-08-07,Housing,Closed Out,2014-10-09,True,10617700,-84.4940794708343,38.0411170579376
02500516#4-3,2014,516 N BROADWAY #4,2014-08-11,Housing,Closed Out,2014-10-09,True,11511050,-84.4886565888344,38.0534327077078
00160111-2,2014,111 ALABAMA AVE,2014-08-13,Housing,Closed Out,2014-10-09,True,16743900,-84.484358115199,38.0547349049616
28562228S,2014,2228 BELMONT DR,2014-07-22,Housing,Closed Out,2014-10-09,True,20109210,-84.5790333825108,38.0060132856242
14360619S,2014,619 ORCHARD AVE,2014-07-15,Housing,Closed Out,2014-10-09,True,16302700,-84.4952647664584,38.0306509339086
05310953-7,2014,953 DAYTON AVE,2014-07-15,Housing,Closed Out,2014-10-09,True,12195200,-84.4701159771431,38.0397277163571
14820121S,2014,121 PENMOKEN PARK,2014-06-26,Housing,Closed Out,2014-10-09,True,15708900,-84.4982832010475,38.0483090595927
11280617S,2014,617 LARAMIE DR,2014-06-26,Housing,Closed Out,2014-10-09,True,23745300,-84.5413174334621,38.0190273203406
17502712S,2014,2712 SOUTHVIEW DR,2014-06-18,Housing,Closed Out,2014-10-09,True,21254500,-84.5352369123231,38.0095930842244
04850528S,2014,528 CRICKLEWOOD DR,2014-06-04,Housing,Closed Out,2014-10-09,True,22891950,-84.4678188802847,38.0758372574711
00370418S,2014,418 ANDOVER DR,2014-04-09,Housing,Closed Out,2014-10-09,True,24762400,-84.464047970966,38.072829585981
18070471S,2014,471 STRATFORD DR,2014-05-07,Housing,Closed Out,2014-10-09,True,26878150,-84.5332599288263,38.0185667919136
20103969S,2013,3969 WEBER WAY,2013-06-04,Housing,Closed Out,2014-10-09,True,24816472,-84.5591487818421,37.9769581037588
18253649S,2014,3649 SUNDART DR,2014-02-20,Housing,Closed Out,2014-10-09,True,19314900,-84.4030645808563,38.004677916026
44570475-2,2014,475 PILGRIM CT,2014-03-26,Housing,Closed Out,2014-10-09,True,19987050,-84.410123249902,38.0940070490803
02193393S4,2013,3393 BOSTON RD,2013-10-02,Housing,Closed Out,2014-10-08,True,38037930,-84.4036149813526,38.0155832848318
11141380,2014,1380 LAKEWOOD DR,2014-10-08,Housing,Housing w/Civil Penalty,2015-01-06,False,20099460,-84.5729638283781,37.9838408309638
12300145#202,2014,145 MALABU DR#202,2014-10-08,Housing,Complaint Received,2014-10-08,False,38052590,-84.560322690889,38.0885501749804
20671270,2014,1270 WINBURN DR,2014-10-08,Housing,Reinspection,2015-01-06,False,19334470,-84.4771941320627,38.0895027798395
15620407#B-2,2014,407 RADCLIFFE RD #B,2014-10-08,Housing,Closed Out,2014-12-26,True,16213250,-84.4820527661888,38.0222354732089
29143808S,2014,3808 WYNDSONG TRL,2014-08-20,Housing,Closed Out,2014-10-08,True,19311880,-84.5671979375859,37.9812189871478
15823690,2014,3690 RED RIVER DR,2014-09-11,Housing,Closed Out,2014-11-21,True,16386200,-84.4817124458236,37.968523764539
16900350-3,2010,350 E SEVENTH ST,2010-07-28,Housing,Reinspection,2015-01-28,False,10037050,-84.4828271174035,38.0539031859993
11601601-3,2014,1601 LIBERTY RD,2014-08-29,Housing,Housing w/Civil Penalty,2015-01-13,False,21717900,-84.5320588389199,38.0492381180923
05250914-2,2014,914 DARLEY DR,2014-08-18,Housing,Closed Out,2014-12-01,True,12537800,-84.4668238402557,38.0515937754126
14300458W8,2014,458 OLDHAM AVE,2014-09-15,Nuisance,Nuisance - Open,2014-10-08,False,15419100,-84.4682528305693,38.0561929950271
30870102W6,2014,102 DANTZLER DR,2014-09-03,Nuisance,Nuisance - Open,2014-10-08,False,21388400,-84.5315537659616,38.0497818880434
09290511W10,2014,511 E HIGH ST,2014-09-08,Nuisance,Nuisance - Open,2014-10-08,False,10617700,-84.4940794708343,38.0411170579376
07510550W4,2014,550 FREEMAN DR,2014-08-01,Nuisance,Nuisance - Open,2014-10-08,False,24331000,-84.4551201708418,38.0815580742403
07120740W10,2014,740 FLORENCE AVE,2014-10-01,Nuisance,Nuisance - Open,2014-10-08,False,10705200,-84.5064689223948,38.066860151976
19601195W2,2014,1195 VERSAILLES RD,2014-10-06,Nuisance,Nuisance - Open,2014-10-08,False,12833575,-84.5197108109786,38.0531848609318
28923145W,2014,3145 COTTONTAIL LN,2014-10-06,Nuisance,Nuisance - Open,2014-10-08,False,38035290,-84.4004385578066,38.0202766223396
10273870W14,2014,3870 JOSHUA CIR,2014-10-06,Nuisance,Nuisance - Open,2014-10-08,False,24816646,-84.5557839432527,37.9792168357938
34450200W12,2014,200 SIMBA WAY,2014-10-08,Nuisance,Closed/Abated by City,2014-10-31,True,38000410,-84.4489598685129,38.0098567502656
12370221W10,2014,221 MANDALAY RD,2014-10-08,Nuisance,Nuisance - Open,2014-10-08,False,12860800,-84.5440096972876,38.0550044261657
19823833W9,2014,3833 WALHAMPTON DR,2014-10-08,Nuisance,Nuisance - Open,2014-10-08,False,19318610,-84.4046222786988,37.9984986736187
10950214W3,2014,214 LACKAWANNA RD,2014-10-08,Nuisance,Nuisance - Open,2014-10-08,False,13079400,-84.5179317209161,38.01536730264
19601123W14,2014,1123 VERSAILLES RD,2014-10-08,Nuisance,Nuisance - Open,2014-10-08,False,12872600,-84.4861021003084,37.9890737408802
07120756W5,2014,756 FLORENCE AVE,2014-10-07,Nuisance,Nuisance - Open,2014-10-08,False,16991425,-84.5064239375338,38.0667815268059
