CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcelId,lat,lng
29990737W7,2014,737 PIONEER LN,2014-07-02,Nuisance,Closed Nuisance,2014-07-18,True,11989200,-84.4934635674395,38.0245848297457
29990741W9,2014,741 PIONEER LN,2014-07-02,Nuisance,Closed Nuisance,2014-07-18,True,16698300,-84.493260557532,38.024485576726
34760676W2,2014,676 DANBY WOODS DR,2014-07-02,Nuisance,Closed Nuisance,2014-07-18,True,12124800,-84.441374110807,38.0583792572816
10950114W,2014,114 LACKAWANNA RD,2014-07-02,Nuisance,Closed Nuisance,2014-07-18,True,13079400,-84.5179317209161,38.01536730264
05040473W3,2014,473 CURRY AVE,2014-07-02,Nuisance,Closed Nuisance,2014-07-18,True,17218150,-84.4469095091839,38.0630795239094
31853815W5,2014,3815 LADY DI LN,2014-06-30,Nuisance,Closed Nuisance,2014-07-18,True,19984070,-84.4948055066252,37.9799159545844
17531104W7,2014,1104 SPARKS RD,2014-07-01,Nuisance,Closed Nuisance,2014-07-18,True,45985750,-84.4674939007363,38.0383615817262
00483617W2,2014,3617 APPIAN WAY,2014-07-01,Nuisance,Closed Nuisance,2014-07-18,True,20032940,-84.4679491333533,37.9607815667733
19171119W,2014,1119 TRENT BLVD,2014-06-30,Nuisance,Closed Nuisance,2014-07-18,True,20965135,-84.4942174252143,37.9737756700243
20410939W5,2014,939 WHITNEY AVE,2014-06-18,Nuisance,Closed Nuisance,2014-07-18,True,12515300,-84.4708469218046,38.0402281138176
07120760W3,2014,760 FLORENCE AVE,2014-06-24,Nuisance,Closed Nuisance,2014-07-18,True,16991425,-84.5064239375338,38.0667815268059
18800714W5,2014,714 W THIRD ST,2014-06-19,Nuisance,Closed Nuisance,2014-07-18,True,15986000,-84.4986259632368,38.0554626970682
18800708W5,2014,708 W THIRD ST,2014-06-19,Nuisance,Closed Nuisance,2014-07-18,True,14396800,-84.5041292389195,38.0535571930223
11440241W3,2014,241 LEE ST,2014-06-19,Nuisance,Closed Nuisance,2014-07-18,True,11327500,-84.4865545478392,38.0441451553178
11440239W8,2014,239 LEE ST,2014-06-19,Nuisance,Closed Nuisance,2014-07-18,True,24649200,-84.5243901750671,38.0227870521885
11440243W5,2014,243 LEE ST,2014-06-19,Nuisance,Closed Nuisance,2014-07-18,True,20241100,-84.5245386501576,38.0228564221024
11440233W6,2014,233 LEE ST,2014-06-19,Nuisance,Closed Nuisance,2014-07-18,True,16746000,-84.4904254258246,38.0468895689515
11440227W7,2014,227 LEE ST,2014-06-19,Nuisance,Closed Nuisance,2014-07-18,True,04037370,-84.4947071281418,38.0496618472611
11440229W4,2014,229 LEE ST,2014-06-19,Nuisance,Closed Nuisance,2014-07-18,True,24816442,-84.5564562745104,37.9754804097868
42723012W3,2014,3012 TIBURON CT,2014-06-17,Nuisance,Closed Nuisance,2014-07-17,True,20128330,-84.5437518737125,38.0053237294792
17210314W2,2014,314 SIERRA DR,2014-07-01,Nuisance,Closed Nuisance,2014-07-17,True,24996450,-84.4550299136766,38.0659535074044
17100404W3,2014,404 SHERMAN AVE,2014-07-01,Nuisance,Closed Nuisance,2014-07-17,True,23508000,-84.4689131712295,38.0584198245868
16982425W4,2014,2425 SHANDON DR,2014-07-02,Nuisance,Closed Nuisance,2014-07-17,True,12431250,-84.4544843971118,38.0907100076031
00231670W2,2014,1670 ALEXANDRIA DR,2014-06-25,Nuisance,Closed Nuisance,2014-07-17,True,14120628,-84.5521049046727,38.0508012783176
19853422W17,2014,3422 WALLINGFORD CT,2014-06-25,Nuisance,Closed Nuisance,2014-07-17,True,20342600,-84.5465164010005,37.9898658942277
38650528W3,2014,528 TOWNSEND RIDGE,2014-06-26,Nuisance,Closed Nuisance,2014-07-17,True,38086680,-84.5417021685151,37.9753685309215
02733565W4,2014,3565 BUCKHORN DR,2014-06-30,Nuisance,Closed Nuisance,2014-07-17,True,12824650,-84.5119652566723,37.9819428835862
02073549W,2014,3549 BOLD BIDDER DR,2014-06-30,Nuisance,Closed Nuisance,2014-07-17,True,10478629,-84.47186143352,37.9770609886375
17100406W3,2014,406 SHERMAN AVE,2014-06-30,Nuisance,Closed Nuisance,2014-07-17,True,27109100,-84.4688076891564,38.0583165188366
18001105W5,2014,1105 STILLWELL AVE,2014-06-26,Nuisance,Closed Nuisance,2014-07-17,True,16209300,-84.474711501383,38.0590862160923
12200355W,2014,355 MADISON PL,2014-06-30,Nuisance,Closed Nuisance,2014-07-17,True,12812400,-84.5078848374615,38.0494574902104
20883805W6,2014,3805 WINTHROP DR,2014-06-30,Nuisance,Closed Nuisance,2014-07-17,True,38106240,-84.5462912581148,37.9730698594911
09730318W2,2014,318 HUMMINGBIRD LN,2014-07-17,Nuisance,Invalid Nuisance,2014-07-17,True,46314650,-84.5205211482931,38.0304640722262
09730322W,2014,322 HUMMINGBIRD LN,2014-07-17,Nuisance,Invalid Nuisance,2014-07-17,True,46314650,-84.5205211482931,38.0304640722262
07200000SIGNS29,2014,0 FONTAINE RD,2014-07-17,Nuisance,Invalid Nuisance,2014-07-17,True,15392600,-84.4881835104323,38.0290565548324
06833313W,2014,3313 FALL CT,2014-07-16,Nuisance,Invalid Nuisance,2014-07-17,True,19991300,-84.4237116740592,38.0005134185017
17712250W3,2014,2250 SPURR RD,2014-07-16,Nuisance,Invalid Nuisance,2014-07-17,True,19345790,-84.5302682326013,38.106570580182
07831950W,2014,1950 GEORGETOWN RD,2014-07-16,Nuisance,Invalid Nuisance,2014-07-17,True,23750300,-84.5451897460644,38.0335110048103
27722609W,2014,2609 ASHBROOKE DR,2014-07-16,Nuisance,Invalid Nuisance,2014-07-17,True,20123560,-84.5985610585691,37.9888295518775
02840147W2,2014,147 BURLEY AVE,2014-07-16,Nuisance,Invalid Nuisance,2014-07-17,True,41337200,-84.5163838932078,38.0332156942527
